Dataset	Seed	MCC	Accuracy	Recall	Specificity	Precision	F1
acpdl_acp240	21	0.6976185199482211	0.8458333333333334	0.8993846153846153	0.7845849802371542	0.8335862839422351	0.8618217260322523
acpdl_acp240	22	0.6740699424887875	0.8333333333333333	0.8686153846153847	0.7936758893280633	0.8352077807250222	0.8464018590105546
acpdl_acp240	23	0.6734704230829696	0.8333333333333333	0.8763076923076923	0.7845849802371542	0.8301831501831503	0.848205624163071
acpdl_acp240	24	0.6889104167049925	0.8416666666666668	0.8916923076923077	0.7845849802371542	0.8321885521885521	0.8575242995997712
acpdl_acp240	25	0.6829162656293852	0.8375	0.8916923076923077	0.775494071146245	0.8267434715821812	0.8534805636485367
acpdl_acp240	26	0.690489224336225	0.8416666666666668	0.8916923076923077	0.7845849802371542	0.8327204830764341	0.8568571870251601
acpdl_acp240	27	0.6978265985730261	0.8458333333333332	0.884	0.8027667984189722	0.8438524693697108	0.859274555232002
acpdl_acp240	28	0.6810459055578377	0.8375	0.884	0.7845849802371542	0.8312151067323482	0.8527218486792953
acpdl_acp240	29	0.6817811210929964	0.8375	0.884	0.7845849802371542	0.8313227513227514	0.8525597605926791
acpdl_acp740	0	0.6476061432711312	0.8208333333333334	0.860923076923077	0.7754940711462451	0.8190501452570418	0.8354092715794843
acpdl_acp740	1	0.6228942033853501	0.8083333333333333	0.8375384615384615	0.775098814229249	0.8141155618574973	0.8211062879427804
acpdl_acp740	2	0.6325799080741052	0.8125	0.852923076923077	0.76600790513834	0.811737365444262	0.8267590732935419
acpdl_acp740	3	0.6316101517216034	0.8125	0.852923076923077	0.766798418972332	0.8120945083014048	0.827125278331185
acpdl_acp740	4	0.6060261130280753	0.8	0.8375384615384615	0.757707509881423	0.804288240495137	0.8156282847587196
acpdl_acp740	5	0.6330022275870222	0.8125	0.8532307692307693	0.766798418972332	0.8126753372693306	0.827056856187291
acpdl_acp740	6	0.6413182301772221	0.8166666666666668	0.8452307692307693	0.7841897233201582	0.8242025314181513	0.8287454485269778
acpdl_acp740	7	0.6242036315871575	0.8083333333333333	0.852923076923077	0.757707509881423	0.8065031104519423	0.8238671329677765
acpdl_acp740	8	0.6164067850101127	0.8041666666666668	0.8452307692307693	0.757312252964427	0.8051790450928381	0.8193301639778401
acpdl_acp740	9	0.6303007235197959	0.8125	0.8375384615384615	0.7841897233201582	0.8197069597069598	0.8243644333061889
acpdl_acp740	10	0.6318853393261801	0.8125	0.8455384615384615	0.7754940711462451	0.815897435897436	0.8255994247298595
acpdl_acp740	11	0.6310806337170881	0.8125	0.8452307692307693	0.7754940711462451	0.8160123784261716	0.8257341048645397
acpdl_acp740	12	0.6319848115926691	0.8125	0.852923076923077	0.766403162055336	0.8115605817163102	0.8268300959307393
acpdl_acp740	13	0.6232994537115765	0.8083333333333333	0.8452307692307693	0.766798418972332	0.8109549071618037	0.8227711419015767
acpdl_acp740	14	0.6316915017376408	0.8125	0.852923076923077	0.766798418972332	0.8135613115101435	0.8281966493204225
acpdl_acp740	15	0.6472537567810807	0.8208333333333332	0.852923076923077	0.7841897233201582	0.8225706987775954	0.8331630141802415
acpdl_acp740	16	0.631619202286084	0.8125	0.8452307692307691	0.7758893280632412	0.8192307692307692	0.8270223496310454
acpdl_acp740	17	0.6310806337170881	0.8125	0.8452307692307693	0.7754940711462451	0.8160123784261716	0.8257341048645397
acpdl_acp740	18	0.6076847959433634	0.8	0.8452307692307693	0.7486166007905138	0.8003193760262726	0.8172077165422296
acpdl_acp740	19	0.6232994537115765	0.8083333333333333	0.8452307692307693	0.766798418972332	0.8109549071618037	0.8227711419015767
acpdl_acp740	20	0.6158929335771306	0.8041666666666666	0.8452307692307693	0.757707509881423	0.8053635093123412	0.8195129965381682
acpdl_acp740	21	0.6303488920255446	0.8125	0.852923076923077	0.76600790513834	0.8122107999527355	0.8280589919352623
acpdl_acp740	22	0.6501959992766386	0.8208333333333334	0.852923076923077	0.7849802371541502	0.827594583275164	0.8337484737484738
acpdl_acp740	23	0.6137723608843942	0.8041666666666666	0.8375384615384615	0.766798418972332	0.8100353669319187	0.8188750380054728
acpdl_acp740	24	0.6143290670195661	0.8041666666666668	0.8452307692307691	0.757707509881423	0.8050679428098784	0.8204339544989041
acpdl_acp740	25	0.6158929335771306	0.8041666666666666	0.8452307692307693	0.757707509881423	0.8053635093123412	0.8195129965381682
acpdl_acp740	26	0.6319848115926691	0.8125	0.852923076923077	0.766403162055336	0.8115605817163102	0.8268300959307393
acpdl_acp740	27	0.5999832697533434	0.7958333333333334	0.8375384615384615	0.7486166007905138	0.798397435897436	0.8119227565704328
acpdl_acp740	28	0.6150317783313844	0.8041666666666668	0.8375384615384615	0.766403162055336	0.8086968426456748	0.8180315150566868
acpdl_acp740	29	0.6318853393261801	0.8125	0.8455384615384615	0.7754940711462451	0.815897435897436	0.8255994247298595
acpdl_tyagi	0	0.5209131637014178	0.7984219754529516	0.6	0.8918589743589743	0.7261359847582758	0.6547184043626169
acpdl_tyagi	1	0.5120070115470602	0.7949444769140853	0.5888888888888889	0.8918589743589743	0.7239641241111829	0.6479773576097105
acpdl_tyagi	2	0.5302798073494717	0.801811805961426	0.604970760233918	0.8944230769230771	0.7358298319327732	0.6617365475026765
acpdl_tyagi	3	0.5159742520992068	0.796697837521917	0.5947368421052632	0.891923076923077	0.723470695970696	0.6513935574229692
acpdl_tyagi	4	0.5080562686924253	0.7932203389830509	0.5888888888888889	0.8894230769230769	0.7186770092652446	0.6458846872082167
acpdl_tyagi	5	0.5042547485723978	0.7898305084745763	0.5997076023391814	0.8792948717948719	0.707938360229382	0.6467095543333934
acpdl_tyagi	6	0.5235277170385861	0.7984219754529513	0.6052631578947368	0.8893589743589743	0.7276722915887002	0.6575663812855463
acpdl_tyagi	7	0.526817104416492	0.8000584453535945	0.5997076023391813	0.8943589743589744	0.7367345399698342	0.6587233441763802
acpdl_tyagi	8	0.5160370420875517	0.7966393921683227	0.5891812865497077	0.8943589743589746	0.7290406162464986	0.6495329994167756
acpdl_tyagi	9	0.5059924757607397	0.7915254237288135	0.5941520467836258	0.8842948717948718	0.7133099906629319	0.6459375399389631
acpdl_tyagi	10	0.5124047475121709	0.7949444769140854	0.5944444444444444	0.8893589743589743	0.7196471665589312	0.6494111280875987
acpdl_tyagi	11	0.5203532728248029	0.7983343074225597	0.5941520467836258	0.8944871794871796	0.7304901960784315	0.6540178040913335
acpdl_tyagi	12	0.5158038096634111	0.7949444769140854	0.5997076023391813	0.8867307692307692	0.7230542986425339	0.653012421112516
acpdl_tyagi	13	0.5147753304066235	0.7966393921683225	0.5891812865497077	0.8944871794871796	0.7257326007326007	0.6486624649859944
acpdl_tyagi	14	0.5143284545076612	0.7949736995908825	0.604970760233918	0.8843589743589744	0.7145588235294118	0.6528637203210258
acpdl_tyagi	15	0.51588692697163	0.7949736995908825	0.6052631578947368	0.884423076923077	0.7176960784313726	0.653871737304275
acpdl_tyagi	16	0.5082217292381443	0.7932203389830509	0.5836257309941522	0.8919871794871795	0.7237256603046076	0.6442798126621656
acpdl_tyagi	17	0.5184445965485596	0.7966686148451199	0.6000000000000001	0.8892948717948718	0.7247055137844611	0.6537448157222452
acpdl_tyagi	18	0.5203173521234341	0.7983635300993571	0.5944444444444444	0.8944871794871796	0.7298884938590822	0.6530835667600373
acpdl_tyagi	19	0.5069435321999789	0.7932787843366453	0.5836257309941522	0.8919871794871795	0.7207051282051282	0.6434397307310021
acpdl_tyagi	20	0.518981575080732	0.7966686148451197	0.6052631578947368	0.8867307692307692	0.7211591478696742	0.6552370992385224
